Date_reported,Country,New_cases,New_deaths
01/01/2021,Egypt,1418,55
02/01/2021,Egypt,1409,56
03/01/2021,Egypt,1407,54
04/01/2021,Egypt,1309,64
05/01/2021,Egypt,1277,58
06/01/2021,Egypt,1119,55
07/01/2021,Egypt,1007,57
08/01/2021,Egypt,1219,54
09/01/2021,Egypt,1001,56
10/01/2021,Egypt,989,57
11/01/2021,Egypt,993,55
12/01/2021,Egypt,961,52
13/01/2021,Egypt,0,55
14/01/2021,Egypt,996,58
15/01/2021,Egypt,1022,59
16/01/2021,Egypt,879,52
17/01/2021,Egypt,887,54
18/01/2021,Egypt,890,56
19/01/2021,Egypt,878,0
20/01/2021,Egypt,899,58
21/01/2021,Egypt,789,51
22/01/2021,Egypt,752,54
23/01/2021,Egypt,748,52
24/01/2021,Egypt,680,49
25/01/2021,Egypt,674,57
26/01/2021,Egypt,669,53
27/01/2021,Egypt,643,55
28/01/2021,Egypt,0,48
29/01/2021,Egypt,521,0
30/01/2021,Egypt,589,48
31/01/2021,Egypt,547,46
01/02/2021,Egypt,533,53
02/02/2021,Egypt,541,44
03/02/2021,Egypt,521,47
04/02/2021,Egypt,512,53
05/02/2021,Egypt,532,52
06/02/2021,Egypt,540,48
07/02/2021,Egypt,509,44
08/02/2021,Egypt,534,47
09/02/2021,Egypt,567,48
10/02/2021,Egypt,573,52
11/02/2021,Egypt,610,53
12/02/2021,Egypt,603,53
13/02/2021,Egypt,609,42
14/02/2021,Egypt,600,36
15/02/2021,Egypt,611,59
16/02/2021,Egypt,613,56
17/02/2021,Egypt,633,51
18/02/2021,Egypt,618,49
19/02/2021,Egypt,656,51
20/02/2021,Egypt,610,49
21/02/2021,Egypt,600,48
22/02/2021,Egypt,608,55
23/02/2021,Egypt,623,51
24/02/2021,Egypt,633,39
25/02/2021,Egypt,644,52
26/02/2021,Egypt,589,46
27/02/2021,Egypt,601,49
28/02/2021,Egypt,588,49